,trial_id,country_name,recruitment_status,country_iso3
3148,1008,Netherlands,"Authorised, recruitment pending",NLD
3149,1008,France,"Authorised, recruitment pending",FRA
3150,1009,Spain,Ended,ESP
3151,1009,Greece,Ended,GRC
3152,1009,Italy,Ended,ITA
3153,1009,Germany,Ended,DEU
3154,1009,France,Ended,FRA
3155,1010,Portugal,"Ongoing, recruiting",PRT
3156,1011,Spain,"Ongoing, recruiting",ESP
3157,1011,France,"Ongoing, recruitment ended",FRA
3158,1011,Netherlands,"Ongoing, recruiting",NLD
3159,1011,Belgium,"Ongoing, recruitment ended",BEL
3160,1012,France,"Ongoing, recruiting",FRA
3161,1013,Spain,"Ongoing, recruiting",ESP
3162,1013,Poland,"Ongoing, recruiting",POL
3163,1013,Netherlands,"Ongoing, recruiting",NLD
3164,1013,Italy,"Ongoing, recruiting",ITA
3165,1013,Germany,"Ongoing, recruiting",DEU
3166,1013,Ireland,"Ongoing, recruiting",IRL
3167,1013,France,"Ongoing, recruiting",FRA
3168,1014,Denmark,"Ongoing, recruitment ended",DNK
3169,1014,Sweden,"Ongoing, recruitment ended",SWE
3170,1015,Poland,"Ongoing, recruitment ended",POL
3171,1016,Denmark,Not authorised,DNK
3172,1016,Finland,"Ongoing, recruitment ended",FIN
3173,1016,France,"Ongoing, recruitment ended",FRA
3174,1016,Spain,"Ongoing, recruitment ended",ESP
3175,1016,Netherlands,"Ongoing, recruitment ended",NLD
3176,1016,Poland,"Ongoing, recruitment ended",POL
3177,1016,Czechia,"Ongoing, recruitment ended",CZE
3178,1016,Hungary,"Ongoing, recruitment ended",HUN
3179,1016,Italy,"Ongoing, recruitment ended",ITA
3180,1016,Germany,"Ongoing, recruitment ended",DEU
3181,1016,Slovakia,"Ongoing, recruitment ended",SVK
3182,1016,Bulgaria,"Ongoing, recruitment ended",BGR
3183,1016,Greece,"Ongoing, recruitment ended",GRC
3184,1016,Croatia,"Ongoing, recruitment ended",HRV
3185,1017,Spain,"Ongoing, recruitment ended",ESP
3186,1017,Slovakia,"Ongoing, recruitment ended",SVK
3187,1017,Poland,"Ongoing, recruitment ended",POL
3188,1017,Belgium,"Ongoing, recruitment ended",BEL
3189,1017,Czechia,"Ongoing, recruitment ended",CZE
3190,1017,Netherlands,"Ongoing, recruitment ended",NLD
3191,1017,France,"Ongoing, recruitment ended",FRA
3192,1017,Bulgaria,"Ongoing, recruitment ended",BGR
3193,1017,Germany,"Ongoing, recruitment ended",DEU
3194,1018,Germany,"Ongoing, recruiting",DEU
3195,1019,Portugal,"Authorised, recruitment pending",PRT
3196,1019,Slovakia,"Authorised, recruiting",SVK
3197,1019,Croatia,Ended,HRV
3198,1019,Romania,"Authorised, recruiting",ROU
3199,1019,Spain,"Authorised, recruiting",ESP
3200,1019,Germany,Ended,DEU
3201,1019,Greece,"Authorised, recruiting",GRC
3202,1019,Poland,"Authorised, recruiting",POL
3203,1019,Italy,"Authorised, recruiting",ITA
3204,1020,Belgium,Ended,BEL
3205,1020,Italy,Ended,ITA
3206,1020,Spain,Ended,ESP
3207,1020,France,Ended,FRA
3208,1021,Poland,"Ongoing, recruitment ended",POL
3209,1021,Germany,"Ongoing, recruitment ended",DEU
