,projectID,title,category,coordinator_name,coordinator_country,coordinator_activity_type,status,totalCostProj,project_start_year,project_end_year,opportunity_tier_cordis
27,634415,Platform for ultra-sensitive Point-of-Care diagnostics for Infectious Diseases,Diagnostics / Biomarkers,TECHNISCHE UNIVERSITAT BERLIN,Germany,HES,CLOSED,5963133.25,2015,2018,Not applicable
28,634429,Advanced Tools and Research Strategies for Parasite Control in European farmed fish,Genomics / Molecular Biology,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,Spain,REC,CLOSED,8104133.75,2015,2020,Not applicable
29,634476,DIVERSITY OF LOCAL PIG BREEDS AND PRODUCTION SYSTEMS FOR HIGH QUALITY TRADITIONAL PRODUCTS AND SUSTAINABLE PORK CHAINS,Genomics / Molecular Biology,KMETIJSKI INSTITUT SLOVENIJE - AGRICULTURAL INSTITUTE OF SLOVENIA,Slovenia,REC,CLOSED,3395987.0,2015,2019,Not applicable
30,634479,"Exploring the combined role of genetic and non-genetic factors for developing Age-Related Macular Degeneration: A systems level analysis of disease subgroups, risk factors, and pathways",Diagnostics / Biomarkers,EBERHARD KARLS UNIVERSITAET TUEBINGEN,Germany,HES,CLOSED,6069996.25,2015,2019,Not applicable
31,634486,Industrial Applications of Marine Enzymes: Innovative screening and expression platforms to discover and use the functional protein diversity from the sea,Pharma / Biotech,BANGOR UNIVERSITY,United Kingdom,HES,CLOSED,7396689.65,2015,2019,Not applicable
32,634541,A Clinical Decision Support system based on Quantitative multimodal brain MRI for personalized treatment in neurological and psychiatric disorders,Diagnostics / Biomarkers,MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,Germany,REC,CLOSED,2168125.0,2015,2021,Not applicable
33,634559,"A multi-center randomized, placebo-controlled trial of mirabegron, a new beta3-adrenergic receptor agonist on left ventricular mass and diastolic function in patients with structural heart disease",Diagnostics / Biomarkers,UNIVERSITE CATHOLIQUE DE LOUVAIN,Belgium,HES,CLOSED,5425112.99,2015,2022,Not applicable
34,634561,Traditional tomato varieties and cultural practices: a case for agricultural diversification with impact on food security and health of European population,Genomics / Molecular Biology,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,Spain,REC,CLOSED,4372015.25,2015,2018,Not applicable
35,634570,Female cancer prediction using cervical omics to individualise screening and prevention,Genomics / Molecular Biology,UNIVERSITY COLLEGE LONDON,United Kingdom,HES,CLOSED,7994746.25,2015,2020,Not applicable
36,634753,"EU-TOPIA: TOWARDS IMPROVED SCREENING FOR BREAST, CERVICAL AND COLORECTAL CANCER IN ALL OF EUROPE",Oncology,ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM,Netherlands,HES,CLOSED,2995683.0,2015,2020,Not applicable
37,634869,Screening for Chronic Kidney Disease (CKD) among Older People across Europe (SCOPE),Diagnostics / Biomarkers,ISTITUTO NAZIONALE DI RIPOSO E CURA PER ANZIANI INRCA,Italy,REC,CLOSED,2950000.0,2015,2020,Not applicable
38,634890,Genomic diagnostics beyond the sequence,Automation,TEL AVIV UNIVERSITY,Israel,HES,CLOSED,6034026.09,2015,2019,Not applicable
39,634928,Laser Multiplexed Biosensor,Diagnostics / Biomarkers,ACONDICIONAMIENTO TARRASENSE ASSOCIACION,Spain,REC,CLOSED,4835584.25,2015,2019,Not applicable
40,634935,Breast Cancer Risk after Diagnostic Gene Sequencing (BRIDGES),Genomics / Molecular Biology,ACADEMISCH ZIEKENHUIS LEIDEN,Netherlands,HES,CLOSED,6460000.0,2015,2021,Not applicable
41,635122,Professional cross-priming for ovary and prostate cancer,Oncology,FUNDACION PARA LA INVESTIGACION MEDICA APLICADA FIMA,Spain,REC,CLOSED,7572500.0,2015,2021,Not applicable
42,635290,Personalized bioinformatics for global cancer susceptibility identification and clinical management,Genomics / Molecular Biology,FUNDACION PUBLICA GALEGA DE MEDICINA XENOMICA,Spain,REC,CLOSED,2948183.75,2015,2018,Not applicable
43,635316,Ageing Trajectories of Health: Longitudinal Opportunities and Synergies,Diagnostics / Biomarkers,PARC SANITARI SANT JOAN DE DEU,Spain,OTH,CLOSED,6139147.5,2015,2020,Not applicable
44,635342,Molecularly guided trials with specific treatment strategies in patients with advanced newly molecular defined subtypes of colorectal cancer (MoTriColor),Diagnostics / Biomarkers,FUNDACIO PRIVADA INSTITUT D'INVESTIGACIO ONCOLOGICA DE VALL-HEBRON (VHIO),Spain,REC,CLOSED,4948742.5,2015,2020,Not applicable
45,635536,"Exploiting native endowments by re-factoring, re-programming and implementing novel control loops in Pseudomonas putida for bespoke biocatalysis",Genomics / Molecular Biology,WAGENINGEN UNIVERSITY,Netherlands,HES,CLOSED,6839673.0,2015,2019,Not applicable
46,635872,Cell-type specific mechanisms regulating rhythms in leukocyte homing,Proteomics / Multi-omics,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,Germany,HES,CLOSED,1497688.0,2015,2020,Not applicable
47,636335,A Non-Invasive Test for Guiding Follow–up of Patients with CT-Detected Lung Nodules,Oncology,TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,Israel,HES,CLOSED,150000.0,2015,2016,Not applicable
48,636592,a LOW environmental impact BRAke SYStem,Oncology,BREMBO NV,Netherlands,PRC,CLOSED,9464576.75,2015,2019,Not applicable
49,636752,An integrative approach to uncover the multilevel regulation of 20S proteasome degradation,Cell / Advanced Therapies,WEIZMANN INSTITUTE OF SCIENCE,Israel,HES,CLOSED,1500000.0,2015,2020,Not applicable
50,636892,PREdictiVe system to recommend Injection mold sEtup in Wireless sensor networks,Genomics / Molecular Biology,FUNDACIO EURECAT,Spain,REC,CLOSED,3321852.5,2015,2017,Not applicable
51,636928,Revealing the function of dormant soil microorganisms and the cues for their awakening,Genomics / Molecular Biology,UNIVERSITAT WIEN,Austria,HES,CLOSED,1499356.25,2015,2022,Not applicable
52,636992,Borealis – the 3A energy class Flexible Machine for the new Additive and Subtractive Manufacturing on next generation of complex 3D metal parts.,MedTech / Medical Device,PRIMA INDUSTRIE SPA,Italy,PRC,CLOSED,7986625.01,2015,2017,Not applicable
53,637014,Virtualization of Real Flows for Animation and Simulation,Digital Health / Bioinformatics,TECHNISCHE UNIVERSITAET MUENCHEN,Germany,HES,CLOSED,1465603.75,2015,2020,Not applicable
54,637024,"The heart of stroke: Pipes, Perfusion, Parenchyma",Diagnostics / Biomarkers,UNIVERSITAIR MEDISCH CENTRUM UTRECHT,Netherlands,HES,CLOSED,1499450.0,2015,2020,Not applicable
55,637047,Validation of a conceptually new treatment for glioblastoma multiforme with an IP protected small molecule,Oncology,KAROLINSKA INSTITUTET,Sweden,HES,CLOSED,149693.0,2015,2016,Not applicable
56,637277,Formal lexically informed logics for searching the web,Digital Health / Bioinformatics,CARDIFF UNIVERSITY,United Kingdom,HES,CLOSED,1451656.0,2015,2020,Not applicable
57,637308,3D Scaffolds as a Stem Cell Delivery System for Musculoskeletal Regenerative Medicine,Cell / Advanced Therapies,UNIVERSITEIT MAASTRICHT,Netherlands,HES,CLOSED,1500000.0,2015,2020,Not applicable
58,637372,Cholesterol and Sugar Uptake Mechanisms,Oncology,AARHUS UNIVERSITET,Denmark,HES,CLOSED,1499848.0,2015,2020,Not applicable
59,637420,Unravelling cluster root development in white lupin,Genomics / Molecular Biology,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,France,REC,CLOSED,1997103.0,2015,2021,Not applicable
